번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
184,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,95도2312,1996. 4. 12.,도로교통법,"제50조, 제106조","상상적 경합범의 관계에 있는 두 죄 중 하나의 죄는 사면되어 면소판결의 대상이고, 나머지 죄는 무죄일 경우, 주문에서 따로 면소를 선고하는지 여부(소극)"
186,도로교통법위반,96도3069,1997. 6. 13.,도로교통법,"제41조, 제107조의2",1995. 1. 5. 개정된 도로교통법상의 음주측정불응죄의 성립요건
191,도로교통법위반,2003라46,2004. 3. 19.,도로교통법,"제12조, 제52조, 제115조의2","경찰서장이           도로교통법 제115조의2 제3항에 의하여           같은 법 제52조 제1항에 의한 고용주에게 과태료를 부과한 경우, 당해 차량의 운전자가 과태료처분에 대한 이의를 제기할 수 있는지 여부(소극)"
192,"일반교통방해,도로교통법위반",97노610,1997. 9. 4.,도로교통법,"제41조, 제107조의2","[1] 도로교통법 제107조의2 제2호의 음주측정불응죄의 성립요건
  [2] 피고인이 약식명령에 불복하여 정식재판을 청구한 사건에 대하여 불이익변경금지의 원칙을 적용하여 형을 선고하지 아니한 사례"
193,도로교통법위반(음주운전),2004도5257,2004. 11. 12.,도로교통법,"제41조, 제107조의2",주취운전과 음주측정거부의 각 도로교통법위반죄의 죄수관계(=실체적 경합)
194,특정범죄가중처벌등에관한법률위반(도주차량)(인정된죄명:교통사고처리특례법위반)·도로교통법위반,2004도250,2004. 3. 12.,도로교통법,제50조,"[1] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주'의 의미
[2] 사고 운전자가 피해자가 사상을 당한 사실을 인식하고도 구호조치를 취하지 않은 채 사고현장을 이탈하면서 피해자에게 자신의 신원을 확인할 수 있는 자료를 제공하여 준 경우, 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주한 때'에 해당하는지 여부(적극)
[3] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 피해자 구호조치를 반드시 본인이 직접 할 필요가 있는지 여부(소극)
[4] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주한 때'에 해당한다고 한 사례"
195,교통사고처리특례법위반·도로교통법위반(무면허운전)·도로교통법위반(음주운전),2002고단9804,2003. 12. 19.,도로교통법,제40조,"미합중국 운전면허를 교부받은 주한 미군이 대한민국 내에서 주한미군규정에 의한 '양국어로 된 운전면허증'을 발급받지 않고 운전한 경우, 무면허운전에 해당하는지 여부(소극)"
196,사기·여신전문금융업법위반·절도·폭행·상해·특수협박·도로교통법위반(음주측정거부),2022도14694,2023. 1. 12.,도로교통법,"제44조, 제148조의2","음주측정거부 전력이 있는 피고인이 음주측정요구에 응하지 않았다는 공소사실에 대하여, 원심이 도로교통법(2020. 6. 9. 법률 제17371호로 개정된 것) 제148조의2 제1항, 제44조 제2항을 적용하여 유죄로 인정하였는데, 헌법재판소가 2022. 8. 31. 위 도로교통법 제148조의2 제1항 중 ‘제44조 제2항을 2회 이상 위반한 사람’에 관한 부분에 대해 위헌결정을 선고한 사안에서, 위 법률조항 부분은 소급하여 효력을 상실하였고, 위헌결정으로 형벌에 관한 법률 또는 법률조항이 소급하여 효력을 상실한 경우 해당 법조를 적용하여 기소한 피고사건은 죄가 되지 아니하는 경우에 해당하므로, 공소사실을 유죄로 인정한 원심판결은 더 이상 유지될 수 없다고 한 사례"
198,마약류관리에관한법률위반(향정)·도로교통법위반,2010도11272,2010. 12. 23.,도로교통법,"제45조, 제148조의2, 제150조","[1] 구 도로교통법 제150조 제1호, 제45조 위반죄가 ‘위태범’인지 여부(적극) 및 약물 등의 영향으로 현실적으로 ‘정상적으로 운전하지 못할 상태’에 이르러야 성립하는지 여부(소극)
[2] 피고인이 필로폰을 투약한 후 그 영향으로 정상적으로 운전하지 못할 우려가 있는 상태에서 자동차를 운전하였다는 구 도로교통법 위반의 공소사실에 대하여, 필로폰 투약 후 자동차를 운전할 당시 아무런 증상이 없었다는 피고인의 진술만으로 위 법 위반죄의 성립을 방해할 수 없는데도, 이 점을 인정할 아무런 증거가 없다고 본 원심판단에 법리오해의 위법이 있다고 한 사례
[3] 자백에 대한 보강증거의 정도
[4] 2010. 2. 18. 01:35경 자동차를 타고 온 피고인으로부터 필로폰을 건네받은 후 피고인이 위 차량을 운전해 갔다고 한 甲의 진술과 2010. 2. 20. 피고인으로부터 채취한 소변에서 나온 필로폰 양성 반응은, 피고인이 2010. 2. 18. 02:00경의 필로폰 투약으로 정상적으로 운전하지 못할 우려가 있는 상태에 있었다는 공소사실 부분에 대한 자백을 보강하는 증거가 되기에 충분하다고 본 사례"
203,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,99도3140,1999. 11. 12.,도로교통법,"제50조, 제106조","[1] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주'의 의미
[2] 특정범죄가중처벌등에관한법률 제5조의3 제1항 위반죄와 도로교통법 제106조 소정의 죄가 고의범인지 여부(적극)
[3] 도로교통법 제50조 제1항의 취지 및 사고운전자가 취하여야 할 조치의 정도
[4] 신호대기를 위하여 정차하고 있다가 브레이크 페달에서 발이 떨어져 차가 서행하면서 앞차의 범퍼를 경미하게 충격하자 사고차량 운전자와 동승자가 피해자에게 사과를 한 후 피해자가 양해를 한 것으로 오인하고 현장을 떠났고, 피해자의 상해와 피해차량의 손괴가 외견상 쉽게 알 수 있는 것이 아닌 경우, 도로교통법 제50조 제1항 소정의 필요한 조치를 취하지 않고 도주한 것으로 볼 수 없다고 한 사례
[5] 범죄사실을 부인하는 피고인에게 형의 선고유예를 할 수 있는지 여부(소극)"
205,도로교통법위반(무면허운전),2001도6281,2002. 7. 23.,도로교통법,"제40조, 제109조",무면허운전으로 인한 도로교통법위반죄의 죄수
209,도로교통법위반·도로교통법위반(음주운전)[미성년자의 음주운전과 법정대리인의 채혈 동의 사건],2013도1228,2014. 11. 13.,도로교통법,"제44조, 제148조의2","음주운전과 관련한 도로교통법 위반죄의 범죄수사를 위하여 미성년자인 피의자의 혈액채취가 필요한 경우, 법정대리인이 의사능력 없는 피의자를 대리하여 채혈에 관한 동의를 할 수 있는지 여부(원칙적 소극)"
213,도로교통법위반피고사건,84노90,1984. 4. 25.,도로교통법,제44조,운전자가 조수석으로 옮겨 앉은 것이           도로교통법 제44조 제6호의 “운전자가 제차의 운전석으로부터 떠날때”에 해당하는지 여부
214,도로교통법위반(음주운전)·도로교통법위반(무면허운전),2005도6368,2006. 11. 23.,도로교통법,"제41조, 제44조, 제107조의2, 제150조",위드마크 공식을 이용한 혈중 알코올농도의 산정에 있어서 주의할 점
215,교통사고처리특례법위반등피고사건,84고단2914,1984. 7. 5.,도로교통법,제2조,경운기가           구 도로교통법(1984.8.4. 법률 제3744호로 개정전) 제2조 제10호 소정의 자동차에 포함되는지 여부
224,도로교통법위반(무면허운전),2007노38,2007. 5. 1.,도로교통법,"제78조, 제93조","[1] 운전면허 정지처분의 적법한 통지 또는 공고가 없는 동안의 자동차 운전이 무면허운전에 해당하는지 여부(소극)
[2] 운전면허정지처분 통지서에 처분청이 어느 행정청인지 전혀 기재되어 있지 않은 경우, 이에 기한 운전면허정지처분의 효력(=당연 무효) 및 위 처분에 따른 운전면허정지기간 중의 운전이 무면허운전에 해당하는지 여부(소극)"
225,도로교통법위반(음주운전),2021도12856,2022. 1. 13.,도로교통법,"제44조, 제148조의2","피고인이 도로교통법상 음주운전 금지규정을 1회 위반한 사람으로서 술에 취한 상태로 자동차를 운전하였다고 하여 구 도로교통법 제148조의2 제1항, 제44조 제1항을 적용법조로 하여 기소된 공소사실에 대하여, 원심이 범죄의 증명이 없다는 이유로 형사소송법 제325조 후단에 따라 무죄를 선고하였는데, 원심판결 선고 후 헌법재판소가 구 도로교통법 제148조의2 제1항 중 ‘제44조 제1항을 2회 이상 위반한 사람’에 관한 부분에 대하여 위헌결정을 선고한 사안에서, 위 법률조항 부분은 소급하여 효력을 상실하여 해당 법률조항이 적용되어 기소된 피고사건에 대하여 형사소송법 제325조 전단에 따라 무죄를 선고하여야 하므로, 원심이 형사소송법 제325조 후단을 적용한 부분은 적절하지 않으나 무죄를 선고한 결론은 정당하다고 한 사례"
227,도로교통법위반,86도42,1987. 3. 10.,도로교통법,"제44조, 제48조, 제79조, 제113조","가. 고시의 폐지와 법령개폐
나.           형법 제1조 제2항 및           형사소송법 제326조 제4호에서 말하는 법령의 개폐로 형이 폐지된 경우의 의미"
228,도로교통법위반,99도2127,1999. 12. 10.,도로교통법,"제2조, 제41조, 제107조의2","[1] 구 도로교통법 제107조의2 제2호 소정의 처벌대상자에 해당하기 위하여는 운전한 장소가 같은 법 제2조 제1호 소정의 도로이어야 하는지 여부(적극)
[2] 구 도로교통법 제2조 제1호 소정의 도로의 개념으로 정한 '일반교통에 사용되는 모든 곳'의 의미
[3] 아파트의 구내 노상주차장에 주차된 차량을 아파트의 구내 지하주차장으로 옮기기 위하여 운전한 경우, 운전한 장소가 구 도로교통법 제2조 제1호 소정의 도로에 해당하지 않는다는 이유로 경찰관의 주취측정 요구에 불응한 행위가 도로교통법위반행위에 해당하지 않는다고 한 사례"
234,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반·도로교통법위반(무면허운전),2007도2919,2007. 7. 26.,도로교통법,"제50조, 제54조, 제106조, 제148조","동승자가 교통사고 후 운전자와 공모하여 도주행위에 가담한 경우, 특정범죄 가중처벌 등에 관한 법률 위반(도주차량)죄의 공동정범으로 처벌할 수 있는지 여부(소극)"
239,교통사고처리특례법위반·도로교통법위반,92도2309,1993. 4. 13.,도로교통법,"제78조, 제79조","가. 적법한 통지 또는 공고가 있었으나 운전면허증을 반납하지 아니한 경우 운전면허정지처분의 효력 유무(적극)
나. 운전면허정지통지서를 보고 면허증을 반납하지 않고 있으면 정지처분의집행이 지연되고 그 기간 동안의 운전은 무면허운전이 되지 않는다고 믿은 경우 법률의 착오에 관한 심리범위"
240,"교통사고처리특례법위반,도로교통법위반",91도223,1991. 3. 22.,도로교통법,"제74조, 제78조, 제109조","가. 정기적성검사를 받지 않았음을 이유로 한 운전면허 취소처분의 효력발생과 이에 관한 적법한 통지 또는 공고가 없는 동안의 자동차운전이 무면허운전인지 여부(소극)
나. 정기적성검사를 받지 않았음을 이유로 한 운전면허 취소처분의 공고가 부적법하여서 취소처분의 효력이 발생하지 아니하였다고 본 사례"
241,교통사고처리특례법위반·도로교통법위반,92도2309,1993. 4. 13.,도로교통법,"제78조, 제79조","가. 적법한 통지 또는 공고가 있었으나 운전면허증을 반납하지 아니한 경우 운전면허정지처분의 효력 유무(적극)
나. 운전면허정지통지서를 보고 면허증을 반납하지 않고 있으면 정지처분의집행이 지연되고 그 기간 동안의 운전은 무면허운전이 되지 않는다고 믿은 경우 법률의 착오에 관한 심리범위"
242,"교통사고처리특례법위반,도로교통법위반",92도2309,1993. 4. 13.,도로교통법,"제78조, 제79조","가. 적법한 통지 또는 공고가 있었으나 운전면허증을 반납하지 아니한 경우 운전면허정지처분의 효력 유무(적극)
나. 운전면허정지통지서를 보고 면허증을 반납하지 않고 있으면 정지처분의집행이 지연되고 그 기간 동안의 운전은 무면허운전이 되지 않는다고 믿은 경우 법률의 착오에 관한 심리범위"
245,도로교통법위반(무면허운전)·도로교통법위반,2007도291,2007. 3. 15.,도로교통법,"제108조, 제151조",구 도로교통법이 과실 재물손괴를 처벌하는 취지 및           같은 법 제108조에 정한 ‘그 밖의 재물’에 범행의 수단 또는 도구로 제공된 차량이 포함되는지 여부(소극)
246,도로교통법위반(음주운전)·도로교통법위반,2004도4408,2004. 9. 24.,도로교통법,"제41조, 제107조의2",위드마크 공식에 의한 역추산 방식을 이용한 혈중알코올농도의 산정에 있어서 주의할 점
253,공문서부정행사·사문서위조·위조사문서행사·도로교통법위반(음주운전)·도로교통법위반(무면허운전),2018도2560,2019. 12. 12.,도로교통법,"제80조, 제85조, 제92조","
  자동차 등의 운전자가 운전 중에 도로교통법 제92조 제2항에 따라 경찰공무원으로부터 운전면허증의 제시를 요구받은 경우, 운전면허증의 특정된 용법에 따른 행사는 도로교통법 관계 법령에 따라 발급된 운전면허증 자체를 제시하는 것인지 여부(적극) / 이때 자동차 등의 운전자가 경찰공무원에게 다른 사람의 운전면허증 자체가 아니라 이를 촬영한 이미지파일을 휴대전화 화면 등을 통하여 보여주는 행위가 공문서부정행사죄를 구성하는지 여부(소극)"
254,도로교통법위반(사고후미조치)·도로교통법위반(음주운전),2019도1503,2019. 4. 11.,도로교통법,"제148조, 제156조","주·정차된 차만 손괴한 것이 분명한 경우, 구 도로교통법 제54조 제1항 제2호에 따라 피해자에게 인적 사항을 제공하지 않은 사람은 도로교통법 제148조의 적용 범위에서 제외되고 도로교통법 제156조 제10호만 적용되는지 여부(적극) 및 그 밖에 구 도로교통법 제54조 제1항에 따른 교통사고 발생 시의 조치를 하지 않은 사람에 대하여는 여전히 도로교통법 제148조가 적용되는지 여부(적극)"
263,도로교통법위반피고사건,85노774,1987. 2. 6.,도로교통법,제13조,구 도로교통법시행규칙(1981.5.6. 내무부령 제347호) 제12조 제1항 소정의 보통승합자동차 등의 운행속도제한 매시 60킬로미터(고속도로 이외의 도로에서) 이내를 더 제한하기 위한 조건
264,폭력행위등처벌에관한법률위반·도로교통법위반·업무방해·공용물건손상·무고,98도138,1999. 12. 28.,도로교통법,"제41조, 제107조의2","[1] 경찰관이 임의동행을 요구하며 손목을 잡고 뒤로 꺾어 올리는 등으로 제압하자 거기에서 벗어나려고 몸싸움을 하는 과정에서 경찰관에게 경미한 상해를 입힌 경우, 위법성이 결여된 행위라고 본 사례
[2] 도로교통법에 의하여 처벌되는 주취운전의 의미"
268,"특정범죄가중처벌등에관한법률위반,도로교통법위반,도주차량",90도978,1990. 9. 25.,도로교통법,제50조,"귀책사유없는 사고차량의 운전자도           도로교통법 제50조 제1,           2항의 구호조치의무 및 신고의무가 있는지 여부(적극)"
269,특정범죄가중처벌등에관한법률위반·도로교통법위반피고사건,78노696,1978. 9. 13.,도로교통법,제45조,도로교통법 제45조 제1항 소정의 필요한 조치의 의의
270,성폭력범죄의처벌및피해자보호등에관한법률위반(강간등상해·치상){인정된죄명:성폭력범죄의처벌및피해자보호등에관한법률위반(강간)}·도로교통법위반방조,2000도1914,2000. 8. 18.,도로교통법,제40조,"[1] 강간죄에 있어서의 폭행·협박의 정도 및 그 판단 기준
[2] 피고인이 피해자를 여관방으로 유인하여 방문을 걸어 잠근 후 성교할 것을 요구한 사안에서, 피해자의 항거를 현저하게 곤란하게 할 정도의 유형력을 행사한 것으로 인정한 사례
[3] 형법상 방조행위의 의미 및 자동차운전면허가 없는 자에게 승용차를 제공하여 무면허운전을 하게 한 것이 도로교통법위반(무면허운전) 범행의 방조행위에 해당하는지 여부(적극)"
276,교통사고처리특례법위반·도로교통법위반,2000도5540,2001. 4. 10.,도로교통법,제68조의2,"연습운전면허 취득자가 준수사항을 어겨서 운전한 경우, 무면허운전죄에 해당하는지 여부(소극)"
277,"폭력행위등처벌에관한법률위반,도로교통법위반",93도2346,1993. 11. 26.,도로교통법,제50조,"가. 도로교통법 제50조 제1항 소정의 필요한 조치를 다하였는지 여부의 판단기준
나. 피해 정도가 경미하고 교통사고 후 피해 상태를 확인한 후 피해변제조로 금원을 지급하려고 하였으나 피해자가 이를 거절하면서 사고신고하자고 하였는데도 인적 사항이나 연락처를 알려 주지 아니한 채 도주하였다면 위 ""가"" 항의 조치를 다하였다고 볼 수 없다 한 사례"
284,도로교통법위반(음주운전),2022도6643,2023. 2. 2.,도로교통법,"제44조, 제148조의2, 제156조","[1] 범죄의 성립과 처벌에 관하여 규정한 형벌법규 자체의 변경에 따라 범죄를 구성하지 아니하게 되거나 형이 가벼워진 경우, 종전 법령이 범죄로 정하여 처벌한 것이 부당하였다거나 과형이 과중하였다는 반성적 고려에 따라 변경된 것인지를 따지지 않고 원칙적으로 형법 제1조 제2항과 형사소송법 제326조 제4호가 적용되는지 여부(적극)
  [2] 피고인이 술에 취한 상태로 개인형 이동장치인 전동킥보드를 운전하여 도로교통법 위반(음주운전)으로 기소된 사안에서, 피고인에 대하여 행위 당시의 법률인 구 도로교통법 제148조의2 제3항 제2호를 적용하지 아니하고, 그 후 형벌법규 자체의 변경으로 인하여 형이 가벼워진 법률 개정을 반영하여 형법 제1조 제2항에 따라 제156조 제11호을 적용하여 유죄로 인정한 원심판단을 수긍한 사례"
287,도로교통법위반,84도2770,1985. 5. 14.,도로교통법,"제2조, 제11조의2, 제24조","가. 피수용자의 호송경비를 위하여 사용되는 긴급자동차의 경우의 긴급용무의 의미
나. 긴급자동차에 대하여 설치차선의 침범이 허용되는 경우"
288,자동차운전면허취소처분취소,2001구1618,2001. 10. 8.,도로교통법,"제2조, 제68조, 제70조, 제78조","[1] 하자 있는 행정처분이 당연무효로 되기 위한 요건과 그 판단 기준
  [2] 트렉터에 의하여 견인되는 추레라가 자동차관리법상의 자동차에 해당되는지 여부(적극)
  [3] 기속행위와 재량행위의 구별 기준
  [4] 자동차의 운전자가 자동차관리법에 의하여 등록되지 아니하거나 임시운행허가를 받지 아니한 자동차(이륜차를 제외한다)를 운전한 경우, 행정청으로서는 그 운전자의 운전면허를 반드시 취소하여야 하는지 여부(적극)
  [5] 미등록 자동차인 트렉터에 의하여 견인되는 추레라를 운전하였음을 이유로 운전자의 운전면허 중 제1종 특수(추레라)면허 외에 제1종 대형면허, 제1종 보통면허까지 취소할 수 있는지 여부(소극)
  [6] 제1종 특수(추레라)면허로 운전할 수 있는 차량을 자동차관리법에 의한 등록을 하지 아니하고 운전한 경우, 그와 관련된 제2종 보통면허까지 취소할 수 있는지 여부(적극)"
289,도로교통법위반,88도1320,1988. 10. 11.,도로교통법,"제44조, 제113조",심야에 육교밑의 편도4차선의 대로를 주행하는 운전자에게 무단횡단자에 대비하여 운전해야 할 의무가 있는지 여부
291,손해배상(자),92다6112,1992. 5. 12.,도로교통법,"제30조, 제32조","가. 과실상계에 있어서 과실의 의미
나. 밤에 도로의 가장자리에 자동차를 주차하는 자의 법령상 의무
다. 중고차가 타인의 불법행위로 훼손된 경우 그 교환가격의 산정방법
라. 불법행위로 훼손된 자동차를 수리하는 기간 동안 휴차손해 대신 대차사용료의 지급을 청구할 수 있는지 여부(적극)"
292,특정범죄가중처벌등에관한법률위반(도주치상)·도로교통법위반(사고후미조치),2019도3225,2020. 2. 6.,도로교통법,"제54조, 제148조","[1] 도로교통법 제54조 제1항 제1호의 취지 / 교통사고 발생 시 운전자가 취하여야 할 조치의 내용과 정도
  [2] 자동차 운전자인 피고인이 편도 3차로 도로의 1차로를 따라 진행하다가 2차로로 차선을 변경하는 과정에서 자신의 차량 우측 앞바퀴 부분으로 甲이 운전하던 피해차량의 좌측 뒤 펜더 부분을 들이받는 사고로 피해차량을 손괴하고도 필요한 조치를 취하지 아니하고 도주하였다고 하여 도로교통법 위반(사고후미조치)으로 기소된 사안에서, 사고 충격의 정도, 피해차량 운전자의 사고 직후 상태, 피해차량이 정차된 위치 등 제반 사정을 종합하면, 피해차량 운전자 甲이 실제로 피고인의 차량을 추격하지 않았다거나 추격 과정에서 교통상의 구체적 위험이 발생하지 않았더라도 사고로 인한 교통상의 위험과 장해가 발생하였다고 보이고, 피고인은 그러한 위험과 장해를 방지·제거하여 원활한 교통을 확보하기 위한 조치를 취할 필요가 있었다는 이유로, 이와 달리 보아 공소사실을 무죄로 판단한 원심판결에 법리오해의 잘못이 있다고 한 사례"
296,교통사고처리특례법위반(치상)·도로교통법위반(음주운전),2024도11906,2025. 7. 18.,도로교통법,"제44조, 제148조의2","
 [1] 음주운전 시점이 혈중알코올농도의 상승시점인지 하강시점인지 확정할 수 없는 상황에서 운전을 종료한 때로부터 상당한 시간이 경과하여 측정된 혈중알코올농도가 처벌기준치를 약간 넘은 경우, 실제 운전 시점의 혈중알코올농도가 처벌기준치를 초과하였다고 단정할 수 있는지 여부(소극)

 [2] 위드마크 공식을 사용하여 운전 당시 혈중알코올농도를 추정하는 경우, 그 법칙 적용의 전제가 되는 개별적이고 구체적인 사실에 대한 증명의 정도

 [3] 위드마크 공식에 의하여 산출한 혈중알코올농도가 법이 허용하는 혈중알코올농도를 근소하게 초과하는 정도인 경우, 위 공식에 의하여 산출된 수치에 따라 범죄의 구성요건 사실을 인정함에 있어서 더욱 신중하게 판단하여야 하는지 여부(적극)

 [4] 피고인이 1차 음주 이후 2023. 6. 18. 22:30경 차량을 운전하다가 신호대기 정차 중이던 차량을 충격한 후 2023. 6. 19. 01:15경까지 편의점에서 소주 2병을 구매한 뒤 거의 마셨고, 경찰관이 2023. 6. 19. 01:37경 피고인에게 음주측정을 실시한 결과 혈중알코올농도가 0.277%로 측정되었는데, 피고인이 경찰에서 1차 음주시간을 2023. 6. 18. 22:00경까지라고 진술한 것 외에 피고인의 음주 시작 및 종료 시각과 음주량을 확인할 수 있는 구체적이고 객관적인 자료가 없는 상황에서 ‘혈중알코올농도 0.03% 이상의 술에 취한 상태로 승용차를 운전하였다.’는 내용으로 기소된 사안에서, 피고인이 승용차를 운전할 당시 혈중알코올농도가 0.03% 이상의 술에 취한 상태였다는 사실이 합리적 의심을 배제할 정도로 증명된다고 보기 어렵다고 한 사례"
298,도로교통법위반,83도606,1983. 5. 10.,도로교통법,"제43조, 제79조",야간에 육교부근의 편도 4차선 도로의 1차선상을 시속 40키로로 주행하다 5미터 전방에서 피해자를 발견하고 급정차한 운전자의 안전운전불이행 유무
299,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,2000도1731,2002. 5. 24.,도로교통법,제50조,"귀책사유 없는 사고차량의 운전자도 도로교통법 제50조 제1항, 제2항의 구호조치의무 및 신고의무가 있는지 여부(적극)"
302,자동차운전면허취소처분취소등,91누2588,1991. 11. 8.,도로교통법,"제40조, 제70조, 제74조, 제78조","가. 정기적성검사 미필에 따른 운전면허취소처분 이후 그에 대한 적법한 통지 또는 공고가 있었으나 면허취소사실을 모르고 한 운전행위의 무면허운전 해당 여부(적극))
나. 위 “가”항과 같이 정기적성검사 미필로 운전면허가 취소되었으나 이를 모르고 운전한 경우, 도로교통법 제70조 제7호 본문 소정의 2년 간의 면허발급제한이 적용되는지 여부(소극)"
303,도로교통법위반(무면허운전),2004도8508,2005. 6. 10.,도로교통법,"제78조, 제152조","[1] 도로교통법 제78조 제3항의 '소재불명'의 의미
[2] 피고인이 운전면허대장기재 주소지에 거주하지 아니하면서도 주민등록은 같은 주소지로 되어 있는 경우, 피고인에 대한 통지에 갈음하여 행해진 면허관청의 운전면허정지처분의 공고가 적법하므로, 그 정지기간 중의 자동차 운전행위는 무면허운전에 해당한다고 한 사례"
305,도로교통법위반,2015도12137,2017. 6. 29.,도로교통법,"제32조, 제156조","
유상으로 운행되는 버스여객자동차뿐만 아니라 무상으로 운행되는 버스여객자동차의 정류지임을 표시하는 기둥이나 표지판 또는 선이 설치된 곳으로부터 10m 이내인 곳에 차를 정차하거나 주차하는 경우에도 도로교통법 제32조 제4호를 위반한 것인지 여부(원칙적 적극)"
306,도로교통법위반,2005도6547,2006. 9. 28.,도로교통법,"제50조, 제54조","[1]           구 도로교통법 제50조 제1항의 취지 및 사고운전자가 취하여야 할 조치의 정도        
[2] 교통사고로 인하여 피해차량이 경미한 물적 피해만을 입었고 파편물이 도로상에 비산되지는 않았다고 하더라도 가해차량이 즉시 정차하는 등 필요한 조치를 취하지 아니한 채 그대로 도주한 경우에는 교통사고 발생시의 필요한 조치를 다하였다고 볼 수 없다고 한 사례"
309,교통사고처리특례법위반·도로교통법위반(음주운전),2002고단3245,2003. 6. 5.,도로교통법,"제41조, 제107조",담당 경찰관이 호흡측정기에 의한 음주측정 결과 혈중알코올농도가 음주운전한계수치에 미달하자 운전자를 귀가시킨 후 뒤늦게 위드마크공식에 의한 역추산 방식을 이용하여 산출한 혈중알코올농도가 처벌기준치를 초과한다는 이유로 공소제기된 사안에서 운전자가 사고 당시 주취상태에서 운전하였다고 단정하기 어렵다고 한 사례
310,위계공무집행방해,2006노929,2006. 11. 3.,도로교통법,"제71조, 제83조",초등학교 졸업은 하였지만 글을 알지 못하는 사람이 운전면허 구술학과시험에서 요구하는 ‘불취학 또는 초등학교를 중퇴하여 글을 읽지 못한다’는 내용의 인우보증서를 제출하여 문맹자를 위한 운전면허 구술학과시험에 응시한 행위가 운전면허 시험감독이라는 공무집행을 방해한 것이 아니라고 본 사례
311,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,2007도1405,2007. 4. 13.,도로교통법,"제50조, 제54조, 제106조, 제148조","[1]           특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항에 정한 도주운전죄가 성립하기 위한 상해의 정도        
[2]           구 도로교통법 제106조의 죄가 고의범인지 여부(적극) 및           구 도로교통법 제50조 제1항의 취지와 사고운전자가 취하여야 할 조치의 정도"
312,특정범죄가중처벌등에관한법률위반·도로교통법위반,80도3320,1981. 6. 23.,도로교통법,제45조,도로교통법 제45조 제2항 소정의 신고의무자는 귀책사유있는 교통사고 운전자에 한하는가의 여부(소극)
314,자동차운전면허취소처분취소,98구18670,1998. 12. 4.,도로교통법,제78조,도로교통법시행규칙 제53조 제1항 [별표 16] 운전면허행정처분기준 2. 취소처분 개별기준 일련번호 제8호가 무적차량의 운전을 운전면허취소사유로 규정한 것이 모법의 위임을 벗어나 무효인지 여부(적극)
316,도로교통법위반(음주운전),2004도1109,2004. 4. 23.,도로교통법,제2조,"[1] 도로교통법상 '운전'의 의미
[2] 자동차를 움직이게 할 의도 없이 다른 목적을 위하여 자동차의 시동을 걸었으나 실수 등으로 인하여 자동차가 움직이게 된 경우, 자동차의 운전에 해당하는지 여부(소극)"
318,교통사고처리특례법위반ㆍ도로교통법위반,83도938,1984. 4. 10.,도로교통법,제2조,전조등만을 켜고 상병인을 운반중이던 자동차를 긴급자동차로 볼 수 있는지 여부
321,자동차운전면허취소처분취소,96구28198,1997. 2. 6.,도로교통법,제78조,과거 수회에 걸쳐 교통사고 및 교통법규 위반 전력이 있는 점을 고려하여 혈중알콜농도가 0.127%인 단순음주운전자에 대한 운전면허취소처분이 정당하다고 한 사례
323,특정범죄가중처벌등에관한법률위반(도주차량·인정된죄명:교통사고처리특례법위반)·도로교통법위반,99도5023,2000. 3. 28.,도로교통법,제50조,"[1] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '도주'의 의미
[2] 자백의 신빙성 유무의 판단 기준
[3] 신빙성이 있는 '사고장소에서 무엇인가 딱딱한 물체를 충돌한 느낌을 받았다'는 피고인의 제1심 법정에서의 진술에 비추어 피고인에게는 미필적으로나마 사고의 발생사실을 알고 도주할 의사가 있었음을 인정할 수 있다고 한 사례"
325,도로교통법위반(음주측정거부),2009도7924,2009. 9. 24.,도로교통법,"제44조, 제150조",도로교통법 제44조 제2항에 정한 ‘음주측정’이 ‘진술’에 해당하는지 여부(소극) 및 음주측정을 거부하는 주취운전 혐의자에 대한 처벌 규정인           도로교통법 제150조 제2호가 자기부죄금지의 원칙을 규정한           헌법 제12조 제2항에 위배되는지 여부(소극)
328,자동차운전면허취소처분취소등,90구8864,1991. 1. 23.,도로교통법,"제40조, 제70조, 제78조",적성검사를 받지 아니하여 운전면허가 취소된 사람이 무면허운전을 한 경우           도로교통법 제70조 제7호에 의하여 2년간 운전면허발급이 제한되는지 여부
